Team,balls_faced,matches_played,runs,4s,6s,1s,2s,0s,dismissals,balls_bowled,runs_conceded,4s_conceded,6s_conceded,1s_conceded,2s_conceded,0s_conceded,wickets_taken,noballs_conceded,legbyes_conceded,wides_conceded,byes_conceded,catches_taken,run_out_taken,bowled_taken,stumped_taken,lbw_taken,Season
Royal Challengers Bangalore,1621,14,2240,193,106,628,96,528,86,1704,2322,180,121,617,84,581,84,6.0,33,77,3,48,9,16,3.0,6.0,2018
Sunrisers Hyderabad,2074,17,2600,239,88,831,133,677,99,2048,2721,229,110,799,105,733,105,3.0,26,38,2,62,11,17,1.0,10.0,2018
Delhi Capitals,1650,14,2131,202,87,607,90,581,97,1618,2219,195,82,644,100,502,79,4.0,32,53,1,44,11,16,3.0,4.0,2017
Gujarat Lions,1675,14,2311,218,92,655,110,507,86,1640,2412,229,98,638,124,474,70,0.0,28,45,3,42,12,6,0.0,8.0,2017
Kolkata Knight Riders,1766,16,2354,228,87,701,102,556,88,1873,2484,240,88,690,107,643,96,5.0,32,58,6,55,5,13,6.0,14.0,2017
Mumbai Indians,2053,17,2633,225,118,771,111,682,108,2072,2800,214,90,805,135,704,105,17.0,34,65,7,65,6,20,2.0,9.0,2017
Punjab Kings,1603,14,2099,187,88,611,96,527,83,1615,2207,186,87,654,101,500,73,5.0,24,51,2,46,1,13,2.0,5.0,2017
Rising Pune Supergiant,1900,16,2370,197,89,782,127,616,90,1928,2470,196,97,725,108,698,113,1.0,34,62,3,63,13,21,3.0,5.0,2017
Royal Challengers Bangalore,1536,13,1760,133,75,586,92,575,97,1504,1845,166,83,578,85,505,79,4.0,23,50,4,48,2,18,5.0,4.0,2017
Sunrisers Hyderabad,1679,14,2262,220,70,663,134,507,62,1612,2349,184,81,642,102,525,96,3.0,26,38,7,56,8,24,0.0,7.0,2017
Delhi Capitals,1645,14,1995,179,65,632,122,561,77,1610,2104,192,59,627,113,540,77,9.0,26,35,3,38,14,14,3.0,6.0,2016
Gujarat Lions,1891,16,2318,242,63,705,123,648,102,1905,2450,224,92,716,161,623,81,7.0,27,46,4,52,6,15,3.0,3.0,2016
Kolkata Knight Riders,1696,15,2133,194,65,718,115,504,76,1751,2263,192,89,624,121,631,94,7.0,24,48,7,46,13,17,4.0,11.0,2016
Mumbai Indians,1674,14,2091,185,92,597,85,625,84,1654,2194,181,75,636,128,536,68,5.0,32,52,3,42,6,14,1.0,2.0,2016
Punjab Kings,1661,14,2051,191,54,644,152,544,91,1619,2134,207,70,621,119,514,73,5.0,27,49,2,43,10,14,3.0,1.0,2016
Rising Pune Supergiant,1580,14,1962,171,68,610,118,521,68,1615,2063,172,75,635,109,539,76,4.0,20,56,2,45,6,10,4.0,11.0,2016
Royal Challengers Bangalore,1915,16,2863,239,142,755,138,547,71,1936,2981,242,97,766,107,596,99,11.0,27,82,5,66,9,12,4.0,3.0,2016
Sunrisers Hyderabad,2034,17,2549,231,89,755,152,699,97,2006,2673,222,81,791,147,670,98,1.0,29,61,1,68,10,15,0.0,4.0,2016
Chennai Super Kings,2069,17,2564,249,96,712,124,764,104,2056,2725,212,98,767,140,755,113,5.0,23,48,4,82,9,14,3.0,3.0,2015
