balls_faced,matches_played,runs,4s,6s,1s,2s,bat_strike,explosivity_rating
3816,182,4898,431.0,194.0,1570.0,204.0,128.35,0.16
112,21,117,6.0,3.0,39.0,16.0,104.46,0.08
32,5,32,3.0,1.0,12.0,1.0,100.0,0.12
105,7,103,12.0,3.0,30.0,2.0,98.1,0.14
18,2,7,0.0,0.0,3.0,2.0,38.89,0.0
68,7,66,5.0,2.0,28.0,3.0,97.06,0.1
238,21,326,26.0,15.0,102.0,15.0,136.97,0.17
78,28,52,2.0,1.0,31.0,2.0,66.67,0.04
2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1047,51,1649,142.0,89.0,405.0,67.0,157.5,0.22
64,9,67,6.0,1.0,23.0,7.0,104.69,0.11
18,5,20,1.0,1.0,10.0,0.0,111.11,0.11
51,5,53,3.0,3.0,17.0,3.0,103.92,0.12
78,4,73,6.0,1.0,31.0,6.0,93.59,0.09
431,19,492,37.0,14.0,189.0,25.0,114.15,0.12
8,1,2,0.0,0.0,2.0,0.0,25.0,0.0
2,1,4,1.0,0.0,0.0,0.0,200.0,0.5
129,9,91,5.0,2.0,47.0,6.0,70.54,0.05
53,9,50,5.0,1.0,16.0,4.0,94.34,0.11
3439,166,4340,427.0,153.0,1247.0,203.0,126.2,0.17
67,17,104,5.0,9.0,18.0,6.0,155.22,0.21
4,1,5,0.0,0.0,1.0,2.0,125.0,0.0
121,12,136,9.0,7.0,44.0,7.0,112.4,0.13
59,10,59,7.0,0.0,21.0,5.0,100.0,0.12
25,5,13,0.0,0.0,9.0,2.0,52.0,0.0
1186,62,1368,150.0,26.0,452.0,77.0,115.35,0.15
33,3,25,4.0,0.0,9.0,0.0,75.76,0.12
3640,152,4438,515.0,93.0,1376.0,191.0,121.92,0.17
33,4,40,1.0,3.0,16.0,1.0,121.21,0.12
120,14,127,14.0,1.0,47.0,9.0,105.83,0.12
28,7,12,0.0,0.0,4.0,4.0,42.86,0.0
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
79,17,32,1.0,0.0,22.0,3.0,40.51,0.01
29,4,37,6.0,0.0,9.0,2.0,127.59,0.21
82,8,91,9.0,1.0,29.0,8.0,110.98,0.12
4,1,2,0.0,0.0,0.0,1.0,50.0,0.0
309,19,366,34.0,18.0,82.0,16.0,118.45,0.17
57,12,34,6.0,0.0,6.0,2.0,59.65,0.11
38,2,31,3.0,0.0,15.0,2.0,81.58,0.08
4,1,3,0.0,0.0,3.0,0.0,75.0,0.0
115,8,145,21.0,3.0,30.0,5.0,126.09,0.21
13,2,15,1.0,1.0,3.0,1.0,115.38,0.15
352,19,423,56.0,10.0,105.0,17.0,120.17,0.19
1195,70,1542,160.0,47.0,469.0,70.0,129.04,0.17
58,7,49,1.0,3.0,25.0,1.0,84.48,0.07
30,5,28,3.0,0.0,14.0,1.0,93.33,0.1
16,2,6,0.0,0.0,6.0,0.0,37.5,0.0
134,10,131,10.0,3.0,63.0,5.0,97.76,0.1
3,2,2,0.0,0.0,0.0,1.0,66.67,0.0
1318,55,1347,137.0,42.0,427.0,53.0,102.2,0.14
92,8,99,10.0,2.0,37.0,5.0,107.61,0.13
13,1,15,1.0,1.0,2.0,0.0,115.38,0.15
2,1,1,0.0,0.0,1.0,0.0,50.0,0.0
1908,68,2487,269.0,78.0,722.0,98.0,130.35,0.18
55,7,73,2.0,7.0,17.0,3.0,132.73,0.16
5,4,5,0.0,0.0,3.0,1.0,100.0,0.0
3972,186,5290,484.0,193.0,1629.0,260.0,133.18,0.17
61,14,42,3.0,1.0,16.0,4.0,68.85,0.07
219,27,198,14.0,6.0,81.0,12.0,90.41,0.09
103,20,88,6.0,5.0,32.0,1.0,85.44,0.11
