0,1,2,3,4,5,6,bowler,Innings,Runs,Extras,Dismissals,Balls Bowled,4s,6s,0s,1s,2s,Highest Conceeded,Strike Rate,Bowling Average,economy,Runs Conceded
1.0,0.0,1.0,0.0,0.0,0.0,0.0,SC Kuggeleijn,2,69,2,2,48,6.0,3.0,19.0,17.0,5.0,36,24.0,34.5,8.625,71
1.0,0.0,1.0,0.0,0.0,0.0,0.0,SD Chitnis,2,54,8,2,36,4.0,3.0,13.0,16.0,2.0,35,18.0,27.0,9.0,62
2.0,3.0,3.0,0.0,0.0,0.0,0.0,SE Bond,8,218,7,9,186,27.0,3.0,81.0,68.0,12.0,33,20.666666666666668,24.22222222222222,7.03225806451613,225
5.0,1.0,0.0,0.0,0.0,0.0,0.0,SE Rutherford,6,54,6,1,41,4.0,1.0,13.0,24.0,4.0,17,41.0,54.0,7.902439024390244,60
4.0,5.0,5.0,0.0,0.0,0.0,0.0,SJ Srivastava,14,409,35,15,283,50.0,13.0,130.0,96.0,16.0,46,18.866666666666667,27.266666666666666,8.671378091872793,444
46.0,16.0,7.0,0.0,0.0,0.0,0.0,SK Raina,69,1096,43,30,908,71.0,44.0,321.0,445.0,44.0,39,30.266666666666666,36.53333333333333,7.242290748898679,1139
32.0,24.0,12.0,3.0,4.0,0.0,0.0,SK Trivedi,75,1840,104,73,1515,154.0,51.0,572.0,649.0,126.0,54,20.753424657534246,25.205479452054796,7.287128712871287,1944
17.0,20.0,12.0,4.0,1.0,0.0,0.0,SK Warne,54,1408,57,60,1194,91.0,56.0,471.0,504.0,99.0,50,19.9,23.466666666666665,7.075376884422111,1465
28.0,37.0,33.0,13.0,9.0,2.0,0.0,SL Malinga,122,3194,292,188,2846,314.0,86.0,1357.0,1022.0,187.0,56,15.138297872340425,16.98936170212766,6.733661278988054,3486
1.0,0.0,0.0,1.0,0.0,0.0,0.0,SM Boland,2,53,3,3,42,6.0,1.0,16.0,17.0,3.0,31,14.0,17.666666666666668,7.571428571428571,56
13.0,7.0,6.0,4.0,1.0,0.0,0.0,SM Curran,31,962,43,35,653,93.0,40.0,258.0,232.0,57.0,57,18.65714285714286,27.485714285714284,8.839203675344564,1005
1.0,1.0,1.0,0.0,0.0,0.0,0.0,SM Harwood,3,61,13,3,60,6.0,2.0,41.0,12.0,5.0,25,20.0,20.333333333333332,6.1,74
5.0,5.0,2.0,0.0,1.0,0.0,0.0,SM Pollock,13,297,10,13,276,30.0,9.0,136.0,89.0,14.0,39,21.23076923076923,22.846153846153847,6.456521739130434,307
1.0,5.0,2.0,0.0,0.0,0.0,0.0,SMSM Senanayake,8,206,5,9,192,17.0,5.0,78.0,84.0,9.0,50,21.333333333333332,22.88888888888889,6.4375,211
1.0,0.0,0.0,0.0,0.0,0.0,0.0,SN Khan,1,6,0,0,2,1.0,0.0,0.0,0.0,1.0,6,inf,inf,18.0,6
25.0,20.0,21.0,6.0,2.0,0.0,0.0,SN Thakur,74,2231,140,88,1555,224.0,90.0,684.0,516.0,129.0,51,17.670454545454547,25.352272727272727,8.608360128617363,2371
48.0,54.0,30.0,6.0,6.0,3.0,0.0,SP Narine,147,3755,152,171,3467,264.0,134.0,1468.0,1413.0,229.0,48,20.27485380116959,21.95906432748538,6.498413614075569,3907
1.0,0.0,0.0,0.0,0.0,0.0,0.0,SPD Smith,1,5,0,0,2,1.0,0.0,0.0,1.0,0.0,5,inf,inf,15.0,5
4.0,0.0,0.0,0.0,0.0,0.0,0.0,SR Tendulkar,4,57,2,0,36,6.0,1.0,6.0,21.0,3.0,21,inf,inf,9.5,59
42.0,33.0,18.0,10.0,2.0,0.0,0.0,SR Watson,105,2571,171,107,2042,292.0,74.0,952.0,687.0,125.0,59,19.08411214953271,24.02803738317757,7.55435847208619,2742
0.0,1.0,0.0,0.0,0.0,0.0,0.0,SS Agarwal,1,42,0,1,24,3.0,3.0,7.0,10.0,1.0,42,24.0,42.0,10.5,42
2.0,2.0,2.0,0.0,0.0,0.0,0.0,SS Cottrell,6,161,16,6,120,19.0,8.0,70.0,31.0,3.0,49,20.0,26.833333333333332,8.049999999999999,177
1.0,0.0,0.0,0.0,0.0,0.0,0.0,SS Iyer,1,7,0,0,6,0.0,1.0,4.0,1.0,0.0,7,inf,inf,7.0,7
0.0,1.0,0.0,0.0,0.0,0.0,0.0,SS Mundhe,1,5,1,1,6,1.0,0.0,5.0,1.0,0.0,5,6.0,5.0,5.0,6
1.0,1.0,0.0,0.0,0.0,0.0,0.0,SS Sarkar,2,34,0,1,25,4.0,0.0,4.0,16.0,1.0,19,25.0,34.0,8.16,34
