player,batter_matches_played,runs_scored,dismissals,balls_faced,0s_scored,1s_scored,2s_scored,4s_scored,6s_scored,high_score,25_scored,50_scored,75_scored,100_scored,strike_rate_x,batting_average,notout,explosivity_rating,0_wickets_taken,1_wickets_taken,2_wickets_taken,3_wickets_taken,4_wickets_taken,5_wickets_taken,6_wickets_taken,bowler_matches_played,runs_conceded,extras_runs_conceded,wickets_taken,balls_bowled,4s_conceded,6s_conceded,0s_conceded,1s_conceded,2s_conceded,highest_conceded,strike_rate_y,bowling_average,economy,total_runs_conceded
Tilak Varma,14.0,397.0,10.0,303.0,104.0,144.0,19.0,29.0,16.0,61.0,6.0,2.0,0.0,0.0,131.02310231023102,39.7,4.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,12.0,2.0,0.0,5.0,5.0,0.0,7.0,inf,inf,6.5,13.0
U Kaul,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
UA Birla,1.0,7.0,1.0,14.0,11.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,50.0,7.0,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,
UBT Chand,20.0,300.0,20.0,300.0,170.0,88.0,15.0,32.0,9.0,58.0,2.0,1.0,0.0,0.0,100.0,15.0,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,
UT Khawaja,4.0,87.0,3.0,70.0,26.0,31.0,5.0,7.0,3.0,30.0,2.0,0.0,0.0,0.0,124.28571428571429,29.0,1.0,0.14,,,,,,,,,,,,,,,,,,,,,,
UT Yadav,41.0,177.0,18.0,168.0,90.0,57.0,6.0,15.0,8.0,24.0,0.0,0.0,0.0,0.0,105.35714285714286,9.833333333333334,23.0,0.14,49.0,38.0,22.0,16.0,5.0,0.0,0.0,130.0,3734.0,246.0,150.0,2791.0,423.0,128.0,1256.0,917.0,159.0,64.0,18.606666666666666,24.893333333333334,8.027230383375134,3980.0
Umar Gul,4.0,39.0,3.0,19.0,8.0,5.0,0.0,1.0,5.0,24.0,0.0,0.0,0.0,0.0,205.26315789473685,13.0,1.0,0.32,0.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,166.0,32.0,14.0,141.0,17.0,5.0,73.0,48.0,10.0,37.0,10.071428571428571,11.857142857142858,7.063829787234042,198.0
Umran Malik,4.0,4.0,1.0,8.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,4.0,3.0,0.0,6.0,5.0,2.0,2.0,0.0,2.0,0.0,17.0,511.0,40.0,25.0,371.0,66.0,18.0,191.0,91.0,18.0,47.0,14.84,20.44,8.264150943396226,551.0
V Kohli,212.0,6462.0,190.0,5049.0,1859.0,2159.0,371.0,563.0,207.0,109.0,55.0,45.0,10.0,4.0,127.98573975044563,34.01052631578948,22.0,0.15,21.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,340.0,17.0,5.0,251.0,24.0,10.0,64.0,136.0,24.0,36.0,50.2,68.0,8.127490039840637,357.0
V Pratap Singh,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,9.0,289.0,11.0,12.0,204.0,31.0,10.0,82.0,73.0,13.0,43.0,17.0,24.083333333333332,8.5,300.0
