Venue,Ball_Number,0,1,2,3,4,5,6,Wickets,TotalBalls
Arun Jaitley Stadium,1,89,34,4,0,21,0,0,3,151
Arun Jaitley Stadium,2,86,34,4,0,20,0,1,4,149
Arun Jaitley Stadium,3,78,46,6,0,20,0,0,6,156
Arun Jaitley Stadium,4,84,37,7,0,19,0,3,5,155
Arun Jaitley Stadium,5,78,41,5,1,20,0,2,5,152
Arun Jaitley Stadium,6,73,38,9,0,25,0,2,6,153
Arun Jaitley Stadium,7,99,45,5,0,22,0,5,7,183
Arun Jaitley Stadium,8,74,32,6,1,32,1,3,7,156
Arun Jaitley Stadium,9,61,38,8,1,30,0,5,4,147
Arun Jaitley Stadium,10,70,44,7,0,29,0,2,10,162
Arun Jaitley Stadium,11,63,41,5,3,31,0,6,4,153
Arun Jaitley Stadium,12,64,49,9,0,24,0,1,8,155
Arun Jaitley Stadium,13,97,32,5,1,23,0,11,9,178
Arun Jaitley Stadium,14,68,51,4,0,26,0,2,3,154
Arun Jaitley Stadium,15,67,42,3,1,20,0,9,6,148
Arun Jaitley Stadium,16,64,35,7,1,34,0,8,7,156
Arun Jaitley Stadium,17,71,41,4,0,23,1,6,5,151
Arun Jaitley Stadium,18,64,46,8,1,25,0,5,7,156
Arun Jaitley Stadium,19,80,48,8,1,29,0,10,9,185
Arun Jaitley Stadium,20,61,44,5,1,37,0,5,9,162
Arun Jaitley Stadium,21,74,33,3,1,28,0,6,8,153
Arun Jaitley Stadium,22,70,42,3,0,24,0,10,10,159
Arun Jaitley Stadium,23,52,49,7,0,34,0,8,5,155
Arun Jaitley Stadium,24,66,37,5,0,27,0,12,3,150
Arun Jaitley Stadium,25,77,44,11,0,22,0,14,10,178
Arun Jaitley Stadium,26,66,49,5,0,21,0,8,7,156
Arun Jaitley Stadium,27,56,53,2,1,22,0,11,7,152
Arun Jaitley Stadium,28,72,36,6,1,31,0,6,10,162
Arun Jaitley Stadium,29,67,44,7,1,22,1,5,4,151
Arun Jaitley Stadium,30,63,49,10,1,18,0,7,9,157
Arun Jaitley Stadium,31,60,63,7,0,31,0,7,4,172
Arun Jaitley Stadium,32,60,51,4,0,27,0,4,6,152
Arun Jaitley Stadium,33,63,41,3,0,28,0,6,4,145
Arun Jaitley Stadium,34,56,56,7,1,23,1,6,5,155
Arun Jaitley Stadium,35,58,48,6,0,29,0,11,3,155
Arun Jaitley Stadium,36,64,54,7,1,18,1,4,8,157
Arun Jaitley Stadium,37,60,90,6,0,11,0,0,10,177
Arun Jaitley Stadium,38,48,73,6,0,11,0,9,5,152
Arun Jaitley Stadium,39,51,68,8,0,20,0,3,6,156
Arun Jaitley Stadium,40,46,79,6,1,11,0,5,5,153
Arun Jaitley Stadium,41,49,66,12,0,18,0,3,5,153
Arun Jaitley Stadium,42,42,75,9,0,9,0,5,6,146
Arun Jaitley Stadium,43,55,90,10,1,18,0,4,7,185
Arun Jaitley Stadium,44,55,75,5,0,13,0,5,5,158
Arun Jaitley Stadium,45,56,65,6,0,13,0,8,5,153
Arun Jaitley Stadium,46,53,74,3,0,11,0,5,8,154
Arun Jaitley Stadium,47,56,57,9,1,17,0,10,4,154
Arun Jaitley Stadium,48,51,69,11,0,9,0,8,4,152
Arun Jaitley Stadium,49,56,72,9,2,17,0,8,5,169
Arun Jaitley Stadium,50,58,63,10,0,13,1,5,9,159
Arun Jaitley Stadium,51,53,70,7,0,13,0,5,3,151
Arun Jaitley Stadium,52,44,68,8,0,19,0,9,4,152
Arun Jaitley Stadium,53,46,81,5,0,10,1,6,4,153
Arun Jaitley Stadium,54,49,73,8,0,11,0,6,6,153
Arun Jaitley Stadium,55,62,73,7,0,16,0,8,12,178
Arun Jaitley Stadium,56,43,78,8,1,10,0,2,3,145
Arun Jaitley Stadium,57,35,81,9,0,15,0,6,3,149
Arun Jaitley Stadium,58,54,73,5,0,13,0,1,12,158
Arun Jaitley Stadium,59,33,81,7,0,20,0,6,5,152
Arun Jaitley Stadium,60,52,70,6,0,12,0,6,8,154
Arun Jaitley Stadium,61,52,80,14,0,15,0,8,2,171
Arun Jaitley Stadium,62,48,69,8,0,18,0,9,7,159
Arun Jaitley Stadium,63,43,59,12,1,20,0,9,8,152
Arun Jaitley Stadium,64,48,77,3,0,12,0,4,7,151
Arun Jaitley Stadium,65,39,60,16,0,17,0,9,6,147
Arun Jaitley Stadium,66,45,73,6,0,11,0,9,5,149
Arun Jaitley Stadium,67,42,83,11,0,9,0,13,2,160
Arun Jaitley Stadium,68,42,73,9,0,20,0,9,7,160
Arun Jaitley Stadium,69,36,79,8,0,15,0,5,4,147
Arun Jaitley Stadium,70,38,78,11,0,13,0,4,6,150
Arun Jaitley Stadium,71,44,63,13,0,13,0,12,10,155
Arun Jaitley Stadium,72,48,63,12,0,16,0,6,9,154
Arun Jaitley Stadium,73,41,92,11,1,11,0,11,4,171
Arun Jaitley Stadium,74,44,68,11,0,11,0,7,4,145
Arun Jaitley Stadium,75,52,60,6,0,14,0,7,7,146
Arun Jaitley Stadium,76,44,56,15,1,17,0,4,5,142
Arun Jaitley Stadium,77,47,63,3,1,18,1,10,7,150
Arun Jaitley Stadium,78,44,55,18,0,18,0,8,6,149
Arun Jaitley Stadium,79,40,92,14,1,20,0,6,7,180
Arun Jaitley Stadium,80,48,58,11,0,15,0,9,8,149
Arun Jaitley Stadium,81,39,65,12,0,11,0,11,7,145
Arun Jaitley Stadium,82,40,79,6,0,4,0,9,8,146
Arun Jaitley Stadium,83,44,62,11,2,13,0,9,4,145
Arun Jaitley Stadium,84,37,75,6,0,14,0,8,10,150
Arun Jaitley Stadium,85,45,89,10,0,10,0,10,6,170
Arun Jaitley Stadium,86,44,64,8,0,10,1,16,10,153
Arun Jaitley Stadium,87,53,57,7,0,17,0,6,10,150
Arun Jaitley Stadium,88,52,63,3,0,17,0,2,6,143
Arun Jaitley Stadium,89,33,62,15,1,23,0,5,6,145
Arun Jaitley Stadium,90,47,63,9,0,13,0,9,11,152
Arun Jaitley Stadium,91,50,75,6,0,19,0,13,13,176
Arun Jaitley Stadium,92,47,68,10,0,9,0,6,12,152
Arun Jaitley Stadium,93,40,63,12,1,14,0,7,6,143
Arun Jaitley Stadium,94,39,69,6,0,11,0,11,3,139
Arun Jaitley Stadium,95,43,59,12,0,9,0,10,12,145
Arun Jaitley Stadium,96,42,64,9,0,10,0,7,6,138
Arun Jaitley Stadium,97,52,64,13,0,16,0,17,13,175
Arun Jaitley Stadium,98,42,60,10,0,11,0,11,7,141
Arun Jaitley Stadium,99,44,61,3,1,13,1,7,9,139
Arun Jaitley Stadium,100,34,56,18,1,11,0,9,8,137
Arun Jaitley Stadium,101,36,56,8,1,19,0,13,7,140
Arun Jaitley Stadium,102,39,64,9,0,16,0,6,8,142
Arun Jaitley Stadium,103,36,71,12,0,22,0,11,13,165
Arun Jaitley Stadium,104,40,55,10,0,19,0,7,11,142
Arun Jaitley Stadium,105,35,53,8,1,17,0,9,11,134
Arun Jaitley Stadium,106,40,46,9,1,18,0,12,10,136
Arun Jaitley Stadium,107,35,49,13,0,21,0,9,11,138
Arun Jaitley Stadium,108,27,60,10,1,23,0,10,10,141
Arun Jaitley Stadium,109,50,61,17,0,23,0,7,14,172
Arun Jaitley Stadium,110,39,56,6,1,13,0,10,13,138
Arun Jaitley Stadium,111,34,58,11,0,14,0,6,7,130
Arun Jaitley Stadium,112,33,53,7,0,18,0,8,14,133
Arun Jaitley Stadium,113,26,49,11,0,13,0,9,7,115
Arun Jaitley Stadium,114,38,44,5,0,17,0,11,12,127
Arun Jaitley Stadium,115,34,60,9,0,19,0,18,14,154
Arun Jaitley Stadium,116,38,44,10,1,13,0,11,15,132
Arun Jaitley Stadium,117,36,34,10,1,14,0,10,18,123
Arun Jaitley Stadium,118,24,46,10,0,12,0,14,8,114
Arun Jaitley Stadium,119,24,35,12,2,12,0,12,15,112
Arun Jaitley Stadium,120,27,31,7,1,15,0,15,15,111
Barabati Stadium,1,7,3,0,0,3,0,0,2,15
Barabati Stadium,2,7,1,2,0,3,0,0,0,13
Barabati Stadium,3,7,4,0,0,0,0,0,0,11
Barabati Stadium,4,6,4,0,0,2,0,0,0,12
Barabati Stadium,5,6,3,1,0,2,0,0,2,14
Barabati Stadium,6,9,3,0,0,1,0,0,0,13
Barabati Stadium,7,12,4,1,0,1,0,1,0,19
Barabati Stadium,8,7,3,1,0,2,0,1,0,14
Barabati Stadium,9,7,2,0,0,5,0,0,1,15
Barabati Stadium,10,9,3,0,0,0,0,2,0,14
Barabati Stadium,11,7,2,1,0,3,0,0,0,13
Barabati Stadium,12,5,3,1,1,3,0,1,0,14
Barabati Stadium,13,5,5,1,0,4,0,0,0,15
Barabati Stadium,14,9,1,2,0,2,0,0,2,16
Barabati Stadium,15,3,5,2,0,2,0,1,0,13
Barabati Stadium,16,7,3,1,0,2,0,0,0,13
Barabati Stadium,17,3,5,0,0,5,0,0,1,14
Barabati Stadium,18,8,3,0,0,1,0,0,2,14
Barabati Stadium,19,10,6,0,0,0,0,0,0,16
Barabati Stadium,20,4,2,2,0,4,0,3,0,15
Barabati Stadium,21,7,4,0,0,2,0,0,1,14
Barabati Stadium,22,6,2,0,0,6,0,0,0,14
Barabati Stadium,23,8,1,0,0,4,0,0,1,14
Barabati Stadium,24,4,6,0,0,3,0,0,0,13
Barabati Stadium,25,13,2,0,0,1,0,0,0,16
Barabati Stadium,26,9,3,0,0,1,0,0,0,13
Barabati Stadium,27,5,2,0,0,1,0,2,1,11
Barabati Stadium,28,7,3,1,0,3,0,0,1,15
Barabati Stadium,29,5,4,0,0,4,0,0,1,14
Barabati Stadium,30,6,2,3,0,3,0,0,1,15
Barabati Stadium,31,8,6,0,0,2,0,0,2,18
Barabati Stadium,32,8,4,0,0,0,0,1,1,14
Barabati Stadium,33,8,4,2,0,0,0,0,0,14
Barabati Stadium,34,8,1,2,0,3,0,0,0,14
Barabati Stadium,35,6,5,0,0,3,0,0,1,15
Barabati Stadium,36,6,4,1,0,3,0,0,0,14
Barabati Stadium,37,4,5,2,0,2,0,1,0,14
Barabati Stadium,38,1,9,1,0,2,0,0,0,13
Barabati Stadium,39,5,7,1,0,1,0,0,0,14
Barabati Stadium,40,3,10,0,1,0,0,0,0,14
Barabati Stadium,41,3,5,1,0,3,0,1,0,13
Barabati Stadium,42,7,7,0,0,0,0,0,1,15
Barabati Stadium,43,6,6,2,0,0,0,0,1,15
Barabati Stadium,44,5,7,2,0,0,0,0,1,15
Barabati Stadium,45,3,8,1,0,1,0,0,0,13
Barabati Stadium,46,7,6,0,0,0,0,0,2,15
Barabati Stadium,47,3,8,0,0,1,0,2,0,14
Barabati Stadium,48,2,10,0,0,2,0,0,0,14
Barabati Stadium,49,1,9,1,0,3,0,2,0,16
Barabati Stadium,50,5,6,1,0,2,0,0,0,14
Barabati Stadium,51,3,8,1,1,1,0,0,0,14
Barabati Stadium,52,4,7,0,0,2,0,0,0,13
Barabati Stadium,53,3,9,1,0,1,0,0,0,14
Barabati Stadium,54,2,9,1,0,1,0,0,0,13
Barabati Stadium,55,2,10,2,0,0,0,1,0,15
Barabati Stadium,56,2,6,1,0,5,0,0,1,15
Barabati Stadium,57,4,9,0,0,0,0,1,0,14
Barabati Stadium,58,4,8,0,0,1,0,1,0,14
Barabati Stadium,59,4,5,2,0,3,0,0,1,15
Barabati Stadium,60,2,7,1,0,3,0,0,0,13
Barabati Stadium,61,9,5,1,0,0,0,0,2,17
Barabati Stadium,62,4,7,1,0,2,0,0,1,15
Barabati Stadium,63,4,6,0,0,1,0,2,1,14
Barabati Stadium,64,4,7,1,0,0,0,1,1,14
Barabati Stadium,65,4,8,1,0,0,0,0,2,15
Barabati Stadium,66,4,7,1,0,1,0,0,0,13
Barabati Stadium,67,4,4,3,0,1,0,2,0,14
Barabati Stadium,68,3,8,3,0,1,0,0,0,15
Barabati Stadium,69,1,7,1,0,4,0,1,0,14
Barabati Stadium,70,3,8,0,0,1,0,0,3,15
Barabati Stadium,71,5,4,3,0,2,0,0,1,15
Barabati Stadium,72,4,8,2,0,0,0,0,2,16
Barabati Stadium,73,5,9,0,0,1,0,1,0,16
Barabati Stadium,74,7,4,2,0,1,0,0,1,15
Barabati Stadium,75,3,7,2,0,2,0,0,0,14
Barabati Stadium,76,7,6,0,0,0,0,0,1,14
Barabati Stadium,77,6,5,0,0,2,0,1,0,14
Barabati Stadium,78,6,6,0,0,2,0,0,0,14
Barabati Stadium,79,5,5,1,0,1,0,1,0,13
Barabati Stadium,80,6,4,1,0,2,0,1,1,15
Barabati Stadium,81,1,7,2,0,2,0,2,0,14
Barabati Stadium,82,3,8,1,0,2,0,0,0,14
Barabati Stadium,83,2,9,1,0,2,0,0,0,14
Barabati Stadium,84,4,7,0,0,3,0,0,0,14
Barabati Stadium,85,4,6,1,0,2,0,0,2,15
Barabati Stadium,86,4,7,1,0,2,0,0,0,14
Barabati Stadium,87,6,5,1,0,2,0,0,1,15
Barabati Stadium,88,2,7,1,1,3,0,0,0,14
Barabati Stadium,89,7,4,2,0,1,0,0,1,15
Barabati Stadium,90,1,6,4,0,1,0,2,0,14
Barabati Stadium,91,3,3,5,0,2,0,2,0,15
Barabati Stadium,92,3,7,1,0,1,0,2,1,15
Barabati Stadium,93,3,6,1,0,2,0,2,0,14
Barabati Stadium,94,4,6,2,0,0,0,1,1,14
Barabati Stadium,95,2,6,2,0,3,0,1,0,14
Barabati Stadium,96,3,8,2,0,0,0,0,1,14
Barabati Stadium,97,4,6,2,0,1,0,1,3,17
Barabati Stadium,98,5,4,0,0,1,0,2,2,14
Barabati Stadium,99,4,5,1,0,2,0,0,0,12
Barabati Stadium,100,4,5,1,0,2,0,1,1,14
Barabati Stadium,101,3,7,0,0,2,0,1,0,13
Barabati Stadium,102,3,6,1,0,2,0,1,1,14
Barabati Stadium,103,0,10,1,0,4,0,0,0,15
Barabati Stadium,104,2,7,2,0,2,0,0,1,14
Barabati Stadium,105,1,7,0,0,3,0,2,0,13
Barabati Stadium,106,5,2,4,0,0,0,3,1,15
Barabati Stadium,107,4,6,1,0,2,0,1,0,14
Barabati Stadium,108,2,6,2,0,3,0,1,0,14
Barabati Stadium,109,3,6,2,0,2,0,0,1,14
Barabati Stadium,110,4,4,4,0,1,0,0,1,14
Barabati Stadium,111,3,2,2,0,4,0,2,3,16
Barabati Stadium,112,3,3,2,0,3,0,2,1,14
Barabati Stadium,113,5,4,1,0,1,0,0,3,14
Barabati Stadium,114,2,6,1,0,1,0,1,0,11
Barabati Stadium,115,6,4,1,0,1,0,1,4,17
Barabati Stadium,116,5,3,1,0,1,0,1,4,15
Barabati Stadium,117,1,7,0,0,3,0,0,1,12
Barabati Stadium,118,2,5,2,0,1,0,1,0,11
Barabati Stadium,119,3,4,1,1,1,0,1,2,13
Barabati Stadium,120,1,5,2,0,1,0,1,1,11
Brabourne Stadium,1,30,9,2,0,10,0,0,1,52
Brabourne Stadium,2,25,11,3,0,10,0,0,2,51
Brabourne Stadium,3,28,10,1,0,11,0,0,0,50
Brabourne Stadium,4,29,13,1,0,8,0,0,0,51
Brabourne Stadium,5,24,10,3,0,13,0,2,1,53
Brabourne Stadium,6,24,14,3,0,5,0,1,2,49
Brabourne Stadium,7,32,13,5,0,7,0,1,1,59
Brabourne Stadium,8,30,15,0,0,7,0,0,3,55
Brabourne Stadium,9,29,8,1,0,12,0,1,3,54
Brabourne Stadium,10,24,13,1,2,8,0,3,3,54
Brabourne Stadium,11,25,8,1,0,14,0,1,1,50
Brabourne Stadium,12,27,9,1,0,8,0,3,2,50
Brabourne Stadium,13,27,16,6,2,14,0,0,1,66
Brabourne Stadium,14,21,16,1,1,11,0,3,4,57
Brabourne Stadium,15,21,12,1,0,11,0,6,3,54
Brabourne Stadium,16,19,13,1,0,13,0,3,0,49
Brabourne Stadium,17,27,15,2,0,4,0,0,1,49
Brabourne Stadium,18,20,15,4,1,8,0,2,1,51
Brabourne Stadium,19,23,15,3,0,15,0,2,0,58
Brabourne Stadium,20,25,11,6,0,11,0,1,2,56
Brabourne Stadium,21,21,13,2,0,14,0,1,2,53
Brabourne Stadium,22,25,11,4,0,11,0,2,3,56
Brabourne Stadium,23,20,14,5,0,11,0,1,1,52
Brabourne Stadium,24,27,10,2,0,9,0,0,1,49
Brabourne Stadium,25,22,20,3,0,15,0,4,3,67
Brabourne Stadium,26,29,7,1,0,15,0,2,5,59
Brabourne Stadium,27,26,15,2,1,7,0,1,4,56
Brabourne Stadium,28,22,12,2,0,6,0,4,3,49
Brabourne Stadium,29,17,19,2,0,8,0,2,2,50
Brabourne Stadium,30,18,16,2,0,12,0,1,2,51
Brabourne Stadium,31,26,17,4,0,12,0,4,1,64
Brabourne Stadium,32,24,15,3,0,11,0,2,1,56
Brabourne Stadium,33,28,8,5,0,10,0,2,6,59
Brabourne Stadium,34,15,16,1,0,17,0,2,0,51
Brabourne Stadium,35,17,16,2,0,12,0,6,2,55
Brabourne Stadium,36,22,17,2,0,6,0,3,0,50
Brabourne Stadium,37,24,24,4,0,10,0,3,3,68
Brabourne Stadium,38,14,29,6,0,4,0,1,2,56
Brabourne Stadium,39,15,25,4,1,8,0,0,3,56
Brabourne Stadium,40,16,23,4,0,6,0,2,3,54
Brabourne Stadium,41,17,27,1,0,5,0,1,2,53
Brabourne Stadium,42,17,29,3,1,2,0,1,1,54
Brabourne Stadium,43,23,22,2,1,5,0,1,2,56
Brabourne Stadium,44,20,23,3,0,7,0,2,2,57
Brabourne Stadium,45,21,18,3,1,5,0,2,5,55
Brabourne Stadium,46,17,20,3,0,3,0,4,2,49
Brabourne Stadium,47,12,26,5,1,5,0,3,0,52
Brabourne Stadium,48,10,26,6,0,6,0,2,0,50
Brabourne Stadium,49,16,30,8,0,7,0,4,1,66
Brabourne Stadium,50,18,24,3,1,7,0,2,2,57
Brabourne Stadium,51,22,16,2,0,6,0,7,1,54
Brabourne Stadium,52,16,21,2,0,5,0,7,2,53
Brabourne Stadium,53,14,22,3,0,7,0,1,4,51
Brabourne Stadium,54,22,22,3,0,4,0,0,3,54
Brabourne Stadium,55,16,27,3,0,5,0,1,1,53
Brabourne Stadium,56,11,27,5,0,5,0,7,2,57
Brabourne Stadium,57,18,19,3,0,10,0,2,7,59
Brabourne Stadium,58,15,18,2,0,9,0,5,2,51
Brabourne Stadium,59,21,21,6,0,1,0,2,2,53
Brabourne Stadium,60,15,29,3,0,5,0,1,2,55
Brabourne Stadium,61,15,31,8,0,5,0,3,5,67
Brabourne Stadium,62,18,23,4,0,3,0,0,3,51
Brabourne Stadium,63,19,25,3,0,3,0,1,3,54
Brabourne Stadium,64,17,19,5,0,7,0,2,3,53
Brabourne Stadium,65,14,22,7,0,5,0,1,2,51
Brabourne Stadium,66,16,23,4,0,4,0,2,3,52
Brabourne Stadium,67,17,30,3,1,6,0,2,0,59
Brabourne Stadium,68,25,22,2,0,1,0,4,6,60
Brabourne Stadium,69,15,23,5,1,1,0,2,0,47
Brabourne Stadium,70,11,22,6,2,8,0,2,2,53
Brabourne Stadium,71,12,25,2,0,4,0,4,1,48
Brabourne Stadium,72,13,24,5,1,5,0,2,2,52
Brabourne Stadium,73,17,23,7,0,7,0,3,4,61
Brabourne Stadium,74,14,24,4,1,4,0,3,0,50
Brabourne Stadium,75,15,20,4,1,7,0,5,1,53
Brabourne Stadium,76,13,21,3,1,5,0,5,0,48
Brabourne Stadium,77,16,23,5,0,4,0,3,5,56
Brabourne Stadium,78,12,23,4,0,8,0,3,3,53
Brabourne Stadium,79,17,24,4,0,5,0,4,2,56
Brabourne Stadium,80,25,20,2,0,4,0,2,5,58
Brabourne Stadium,81,12,19,8,1,7,0,2,0,49
Brabourne Stadium,82,16,20,4,0,7,0,3,5,55
Brabourne Stadium,83,18,23,3,0,4,0,1,2,51
Brabourne Stadium,84,16,17,4,0,7,0,4,2,50
Brabourne Stadium,85,15,23,7,0,10,0,5,1,61
Brabourne Stadium,86,15,24,6,0,4,0,4,5,58
Brabourne Stadium,87,17,26,2,0,3,0,3,3,54
Brabourne Stadium,88,21,18,4,0,4,0,4,3,54
Brabourne Stadium,89,14,24,4,0,6,0,2,5,55
Brabourne Stadium,90,13,22,3,0,7,0,4,3,52
Brabourne Stadium,91,19,24,3,0,5,0,1,1,53
Brabourne Stadium,92,15,18,6,0,6,0,6,2,53
Brabourne Stadium,93,15,16,3,0,10,0,3,4,51
Brabourne Stadium,94,14,16,6,0,7,0,5,3,51
Brabourne Stadium,95,19,19,6,0,6,0,0,6,56
Brabourne Stadium,96,15,17,5,0,7,0,5,4,53
Brabourne Stadium,97,17,24,4,1,5,0,2,5,58
Brabourne Stadium,98,14,18,1,0,6,0,6,4,49
Brabourne Stadium,99,9,21,3,0,3,0,7,0,43
Brabourne Stadium,100,11,18,8,1,5,0,4,5,52
Brabourne Stadium,101,20,16,2,0,8,0,3,6,55
Brabourne Stadium,102,15,20,4,0,4,0,4,4,51
Brabourne Stadium,103,26,24,7,0,10,0,3,12,82
Brabourne Stadium,104,15,17,3,0,8,0,5,4,52
Brabourne Stadium,105,10,15,10,1,6,0,5,4,51
Brabourne Stadium,106,9,24,6,0,7,0,4,6,56
Brabourne Stadium,107,18,20,3,1,6,0,3,4,55
Brabourne Stadium,108,11,20,9,0,3,0,5,3,51
Brabourne Stadium,109,9,19,7,0,11,0,5,2,53
Brabourne Stadium,110,15,23,2,0,9,0,2,5,56
Brabourne Stadium,111,7,14,5,0,8,0,8,2,44
Brabourne Stadium,112,7,19,2,0,11,0,3,1,43
Brabourne Stadium,113,10,13,6,0,7,0,5,1,42
Brabourne Stadium,114,13,16,4,1,5,0,3,7,49
Brabourne Stadium,115,13,17,5,1,11,0,4,10,61
Brabourne Stadium,116,15,13,5,0,7,0,3,7,50
Brabourne Stadium,117,10,19,2,0,7,0,6,4,48
Brabourne Stadium,118,12,15,6,0,4,0,3,4,44
Brabourne Stadium,119,11,9,6,0,6,0,2,2,36
Brabourne Stadium,120,9,8,5,1,5,0,4,4,36
Buffalo Park,1,5,0,0,0,0,0,0,1,6
Buffalo Park,2,3,2,0,0,0,0,0,0,5
Buffalo Park,3,3,2,0,0,0,0,0,1,6
Buffalo Park,4,5,0,0,0,1,0,0,1,7
Buffalo Park,5,4,1,1,0,0,0,0,0,6
Buffalo Park,6,4,0,0,0,1,0,0,0,5
Buffalo Park,7,5,1,0,0,1,0,0,1,8
Buffalo Park,8,4,1,0,0,2,0,0,0,7
Buffalo Park,9,2,3,0,0,0,0,0,1,6
Buffalo Park,10,3,2,0,0,0,0,0,0,5
Buffalo Park,11,5,1,0,0,0,0,0,0,6
Buffalo Park,12,3,1,0,0,1,0,0,0,5
Buffalo Park,13,4,1,1,0,2,0,1,0,9
Buffalo Park,14,6,1,0,0,0,0,0,2,9
Buffalo Park,15,3,1,3,0,0,0,0,0,7
Buffalo Park,16,3,1,0,0,0,0,0,0,4
Buffalo Park,17,4,1,1,0,0,0,0,0,6
Buffalo Park,18,4,1,1,0,0,0,0,0,6
Buffalo Park,19,4,0,0,0,2,0,0,0,6
Buffalo Park,20,3,2,0,0,0,0,1,1,7
Buffalo Park,21,3,2,0,0,0,0,0,0,5
Buffalo Park,22,3,2,0,0,0,0,0,0,5
Buffalo Park,23,2,1,2,0,0,0,1,0,6
Buffalo Park,24,1,4,1,0,0,0,0,0,6
Buffalo Park,25,3,3,0,0,0,0,0,0,6
Buffalo Park,26,1,3,0,0,2,0,0,0,6
Buffalo Park,27,3,1,0,0,0,0,1,0,5
Buffalo Park,28,1,2,0,0,1,0,2,0,6
Buffalo Park,29,2,2,0,0,2,0,0,0,6
Buffalo Park,30,2,2,0,0,1,0,0,0,5
Buffalo Park,31,2,4,1,0,0,0,2,0,9
Buffalo Park,32,2,3,0,0,1,0,0,0,6
Buffalo Park,33,2,3,1,0,0,0,0,0,6
Buffalo Park,34,4,0,0,0,0,0,2,0,6
Buffalo Park,35,3,2,0,0,1,0,0,1,7
Buffalo Park,36,3,3,0,0,0,0,0,1,7
Buffalo Park,37,2,3,0,0,1,0,0,0,6
Buffalo Park,38,2,3,1,0,0,0,0,0,6
Buffalo Park,39,4,0,0,0,0,0,2,0,6
Buffalo Park,40,3,1,0,0,1,0,0,0,5
Buffalo Park,41,4,1,0,0,0,0,0,1,6
Buffalo Park,42,3,3,0,0,0,0,0,0,6
Buffalo Park,43,2,5,0,0,0,0,0,0,7
Buffalo Park,44,3,3,0,0,0,0,0,0,6
Buffalo Park,45,2,1,1,0,0,0,1,0,5
Buffalo Park,46,2,2,1,0,1,0,0,1,7
Buffalo Park,47,1,3,0,0,1,0,0,0,5
Buffalo Park,48,4,1,0,0,0,0,0,1,6
Buffalo Park,49,4,1,1,0,1,0,0,0,7
Buffalo Park,50,6,0,0,0,0,0,0,2,8
Buffalo Park,51,2,2,0,0,0,0,2,0,6
Buffalo Park,52,2,4,0,0,0,0,0,0,6
Buffalo Park,53,2,4,0,0,0,0,0,0,6
Buffalo Park,54,1,4,1,0,0,0,0,1,7
Buffalo Park,55,4,3,0,0,0,0,0,1,8
Buffalo Park,56,0,6,0,0,0,0,0,0,6
Buffalo Park,57,2,1,1,0,1,0,0,0,5
Buffalo Park,58,1,4,0,0,0,0,0,0,5
Buffalo Park,59,2,4,0,0,0,0,0,0,6
Buffalo Park,60,1,5,0,0,0,0,0,0,6
Buffalo Park,61,3,4,0,0,0,0,0,0,7
Buffalo Park,62,1,5,0,0,0,0,0,0,6
Buffalo Park,63,2,3,0,0,0,0,0,0,5
Buffalo Park,64,4,2,0,0,0,0,0,1,7
Buffalo Park,65,3,3,0,0,0,0,0,0,6
Buffalo Park,66,0,4,0,0,0,0,0,0,4
Buffalo Park,67,3,1,0,0,2,0,1,0,7
Buffalo Park,68,2,3,0,0,1,0,0,0,6
Buffalo Park,69,2,1,2,0,0,0,0,0,5
Buffalo Park,70,2,2,2,0,0,0,0,1,7
Buffalo Park,71,2,2,0,0,1,0,0,0,5
Buffalo Park,72,1,4,1,0,0,0,0,0,6
Buffalo Park,73,2,3,0,0,0,0,0,1,6
Buffalo Park,74,2,3,0,0,1,0,0,0,6
Buffalo Park,75,3,0,2,0,0,0,0,0,5
Buffalo Park,76,3,2,1,0,0,0,0,1,7
Buffalo Park,77,4,2,0,0,0,0,0,0,6
Buffalo Park,78,3,3,0,0,0,0,0,0,6
Buffalo Park,79,2,5,0,0,0,0,0,0,7
Buffalo Park,80,1,3,0,0,1,0,0,0,5
Buffalo Park,81,2,4,0,0,0,0,0,0,6
Buffalo Park,82,2,3,1,0,0,0,0,0,6
Buffalo Park,83,2,3,0,0,1,0,0,1,7
Buffalo Park,84,1,4,1,0,0,0,0,1,7
Buffalo Park,85,2,3,0,0,1,0,0,0,6
Buffalo Park,86,0,4,0,0,2,0,0,0,6
Buffalo Park,87,3,1,0,0,0,0,2,0,6
Buffalo Park,88,2,3,0,0,0,0,1,1,7
Buffalo Park,89,1,3,0,0,0,0,0,1,5
Buffalo Park,90,1,4,0,0,0,0,0,0,5
Buffalo Park,91,0,4,0,0,2,0,0,0,6
Buffalo Park,92,1,2,1,0,0,0,1,0,5
Buffalo Park,93,1,1,0,0,1,0,1,0,4
Buffalo Park,94,2,1,0,0,0,0,1,0,4
Buffalo Park,95,0,2,0,0,3,0,0,0,5
Buffalo Park,96,1,2,1,0,0,0,0,1,5
Buffalo Park,97,3,3,1,0,1,0,0,2,10
Buffalo Park,98,1,4,0,0,0,0,0,0,5
Buffalo Park,99,4,0,0,0,1,0,0,0,5
Buffalo Park,100,1,2,0,1,0,0,0,0,4
Buffalo Park,101,1,1,0,0,2,0,0,0,4
Buffalo Park,102,1,3,0,0,1,0,0,0,5
Buffalo Park,103,1,3,1,0,0,0,1,0,6
Buffalo Park,104,2,2,0,0,1,0,0,1,6
