bowler,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
Harbhajan Singh,0.556956599,0.497795368,0.404444444,0.443902439,0.687150016,0.397022025,0.407023555,0.313415117,0.558918305,0.271054064,0.598425197,0.301683074
Harmeet Singh,0.588611765,0.47622689,0.4416,0.484210526,0.594106299,0.401107887,0.406329114,0.239641657,0.467381154,0.292334688,0.6,0.212765957
Harpreet Brar,0.386363636,0.721900348,0.24,0.066666667,0.677395782,0.386375626,0.443697479,0.356275304,0.436262276,0.197958995,0.409756098,0.124113475
I Sharma,0.517873878,0.355970489,0.317647059,0.208421053,0.558137956,0.371062522,0.372537313,0.192059095,0.572447975,0.270804088,0.624938875,0.290507365
I Udana,0.576494808,0.39165701,0.252631579,0.3,0.539021047,0.402796096,0.34,0.162679426,0.349406913,0.271102697,0.362264151,0.094562648
IC Pandey,0.534021694,0.358053302,0.282352941,0.177777778,0.632203907,0.362539567,0.402531646,0.179966044,0.547156203,0.270099836,0.6996139,0.303091128
IK Pathan,0.555999593,0.487929384,0.296801706,0.260674157,0.640688483,0.427277154,0.40704,0.21878225,0.577747879,0.251927872,0.676751947,0.29313136
IS Sodhi,0.761428571,0.596755504,0.685714286,0.4,0.729416407,0.409325573,0.39,0.421052632,0.470998409,0.345770225,0.8,0.283687943
Imran Tahir,0.560239461,0.463423491,0.332075472,0.345098039,0.649413781,0.438442092,0.432258065,0.306636156,0.570895404,0.377601281,0.311111111,0.114566285
Iqbal Abdulla,0.540893551,0.394728614,0.4,0.371428571,0.625812566,0.391020076,0.375875486,0.252945797,0.576882449,0.316392344,0.573722628,0.376653249
J Botha,0.568169761,0.489120639,0.403846154,0.466666667,0.675809965,0.385148747,0.441450777,0.427067669,0.5169717,0.183131915,0.486315789,0.240926158
J Suchith,0.427272727,0.47161066,0.4,0.2,0.611672973,0.427601085,0.377245509,0.204678363,0.544362414,0.383967492,0.516666667,0.219858156
J Syed Mohammad,0.429487179,0.506373117,0.333333333,0.25,0.548279651,0.447678713,0.243137255,0.130526316,0.744576598,0.414850388,0.733333333,0.585106383
J Theron,0.611858974,0.460233857,0.25,0.285714286,0.805895698,0.453422073,0.466666667,0.442105263,0.496248756,0.443295161,0.50625,0.168961202
J Yadav,0.489130435,0.446581692,0.5,0.333333333,0.652901475,0.245647586,0.463366337,0.513157895,0.53103099,0.221019579,0.496,0.263829787
JA Morkel,0.543668478,0.531330778,0.315,0.305454545,0.684042419,0.408776768,0.430142566,0.303710095,0.515614233,0.271465513,0.529371429,0.202284876
JA Richardson,0.495614035,0.494785632,0.2,0.1,0.542061865,0.453020311,0.32,0.120300752,0.490803011,0.299716784,0.654545455,0.212765957
JC Archer,0.618776811,0.450526826,0.354878049,0.307936508,0.777957809,0.495911369,0.553846154,0.385964912,0.702448622,0.337027181,0.759763314,0.517408124
JD Ryder,0.474285714,0.453281365,0.288,0.15,0.632175446,0.398944869,0.42,0.294736842,0.487394254,0.374214998,0.6,0.159574468
JD Unadkat,0.499424128,0.509048463,0.313138686,0.213432836,0.617681729,0.378343501,0.341232227,0.182186235,0.560700429,0.258999825,0.525648415,0.267276244
JDP Oram,0.603883704,0.517574353,0.36,0.35,0.517853111,0.2355579,0.377777778,0.178947368,0.4696472,0.240795469,0.464150943,0.174468085
JDS Neesham,0.405555556,0.568945539,0,0,0.597693344,0.423446509,0.336585366,0.179337232,0.43121102,0.249870706,0.582857143,0.15070922
JE Taylor,0.522370266,0.702201622,0.417391304,0.290909091,0.647790224,0.434186231,0.635294118,0.315789474,0.598028071,0.337643147,0.575,0.349544073
JEC Franklin,0.468,0.490150637,0.35,0.233333333,0.580887371,0.416934846,0.315789474,0.157894737,0.451756238,0.311907401,0.218181818,0.106382979
JH Kallis,0.524056814,0.4819985,0.305142857,0.217073171,0.644499297,0.356524562,0.399053254,0.248562583,0.547483005,0.292375323,0.545669291,0.2700491
JJ Bumrah,0.607852376,0.471514569,0.378436658,0.392178771,0.725635432,0.443978583,0.472189349,0.345679012,0.608117871,0.263625169,0.617180617,0.342626559
JJ van der Wath,0.530645161,0.548088065,0.327272727,0.171428571,0.423457218,0.533104722,0.333333333,0.065789474,0.466307333,0.455485778,0.72,0.239361702
JL Pattinson,0.572111222,0.492699884,0.430769231,0.35,0.587434326,0.458109287,0.338028169,0.16194332,0.502268303,0.27953454,0.505882353,0.198889917
JO Holder,0.558015514,0.548128369,0.320361991,0.302564103,0.647254001,0.400705217,0.368231047,0.248538012,0.500916908,0.266250638,0.525239617,0.211224175
JP Behrendorff,0.270289855,0.482039397,0.4,0.133333333,0.788250084,0.457700569,0.496551724,0.421052632,0.409600778,0.306489349,0.584210526,0.178916828
JP Duminy,0.541882901,0.401092534,0.311111111,0.28,0.651758538,0.38258476,0.395633188,0.331140351,0.52326963,0.159848594,0.524050633,0.262158055
JP Faulkner,0.555894437,0.508163054,0.308035714,0.252747253,0.621260071,0.405003754,0.391836735,0.213868003,0.531040133,0.302872511,0.524369748,0.227338968
JPR Scantlebury-Searles,0.273188406,0.561993048,0.4,0.1,0.479926165,0.38464785,0.2,0.087719298,0.42671078,0.374214998,0,0
JR Hazlewood,0.518051948,0.504982619,0.350649351,0.25,0.660467554,0.477291418,0.486956522,0.32748538,0.623416055,0.28551222,0.598095238,0.278368794
JR Hopes,0.470673077,0.481807648,0.219230769,0.146153846,0.655802209,0.361297434,0.410666667,0.197689345,0.463913597,0.279128186,0.635294118,0.191489362
JW Hastings,0.666774194,0.561993048,0.6,0.5,1,0.572672118,0.6,0.315789474,0.57759384,0.201514592,0.666666667,0.193423598
Jaskaran Singh,0.49305924,0.676477404,0.331034483,0.133333333,0.532078545,0.367910841,0.48,0.157894737,0.573651478,0.276690063,0.57,0.288753799
Joginder Sharma,0.455392157,0.384207913,0.258823529,0.146666667,0.591230792,0.427538908,0.32849162,0.177858439,0.461178158,0.347801995,0.55,0.167173252
K Gowtham,0.408823529,0.413673233,0.282352941,0.114285714,0.640081817,0.402080115,0.382978723,0.232198142,0.569249613,0.288517864,0.460273973,0.186170213
K Khejroliya,0.620944742,0.432676709,0.141176471,0.133333333,0.592144403,0.344763915,0.372413793,0.189473684,0.360374839,0.26179042,0.375,0.088652482
K Rabada,0.557791126,0.559521051,0.427530364,0.338461538,0.691826057,0.436846667,0.48,0.330143541,0.543879835,0.290741425,0.529597198,0.237243457
K Santokie,0.366908213,0.332560834,0.260869565,0.125,0.721119828,0.446056449,0.6,0.157894737,0.431526929,0.276690063,0.466666667,0.186170213
KA Jamieson,0.428362573,0.367323291,0.266666667,0.16,0.699348797,0.481403324,0.579310345,0.294736842,0.50683504,0.321388992,0.552941176,0.2
KA Pollard,0.496348356,0.486115466,0.316167665,0.228571429,0.623699209,0.411174126,0.331822303,0.200657895,0.448729799,0.279128186,0.423529412,0.127659574
KAJ Roach,0.48197832,0.425260718,0.133333333,0.057142857,0.603979093,0.434027961,0.6,0.315789474,0.612317743,0.309198375,0.8,0.255319149
KC Cariappa,0.625462185,0.561993048,0.282352941,0.266666667,0.600631431,0.347753451,0.318518519,0.156079855,0.444607151,0.309198375,0.466666667,0.14893617
KH Pandya,0.586733889,0.497995581,0.42739726,0.495238095,0.680991802,0.355614958,0.342857143,0.293297346,0.569011647,0.268572994,0.499173554,0.254981425
KJ Abbott,0.45,0.285283893,0.25,0.111111111,0.55276044,0.420733316,0.413793103,0.131578947,0.505719113,0.658662726,0.380487805,0.125725338
KK Ahmed,0.560306674,0.50954194,0.392626728,0.315555556,0.615958879,0.428141435,0.423121387,0.221415608,0.528310763,0.316120733,0.569761273,0.235093249
KK Cooper,0.574227451,0.450074895,0.3456,0.342857143,0.668359868,0.442307959,0.390566038,0.279352227,0.597091224,0.277222193,0.579775281,0.32674772
KL Nagarkoti,0.475617978,0.274623407,0.44,0.275,0.53444141,0.371669744,0.26440678,0.136842105,0.462755851,0.618027337,0.52,0.197568389
KM Asif,0.356949807,0.902665122,0,0,0.448620958,0.525191242,0.2,0.078947368,0.61092847,0.439231622,0.75,0.227963526
KMA Paul,0.560314685,0.429123214,0.4,0.355555556,0.617807586,0.409677055,0.381308411,0.255639098,0.525358792,0.370151459,0.4,0.106382979
KMDN Kulasekara,0.660714286,0.420625724,0.385714286,0.6,0.685125365,0.601160644,0.2,0.052631579,0.583063609,0.361347125,0.636363636,0.265957447
KP Appanna,0.389130435,0.531865585,0.2,0.1,0.631813718,0.472638546,0.389189189,0.274599542,0.496969891,0.317325453,0.423529412,0.127659574
KP Pietersen,0.534090909,0.47161066,0.3,0.3,0.628481907,0.420733316,0.334883721,0.291497976,0.715679705,0.313261914,0.8,0.425531915
KR Sen,0.462273642,0.510235612,0.4,0.186666667,0.651310287,0.40775521,0.468292683,0.240601504,0.466922721,0.340352173,0.5,0.151975684
KV Sharma,0.494526421,0.446296461,0.395294118,0.233333333,0.632596605,0.433620124,0.3975,0.255524307,0.576080575,0.294755396,0.481578947,0.282146161
KW Richardson,0.527305871,0.483545771,0.316981132,0.224,0.603496898,0.304189348,0.311111111,0.184210526,0.533145412,0.295908212,0.621428571,0.308510638
Kamran Khan,0.499148317,0.693395133,0.331034483,0.228571429,0.641444032,0.431970456,0.365217391,0.245614035,0.466208086,0.314842179,0.592771084,0.198259188
Karanveer Singh,0.399074074,0.57967224,0.45,0.257142857,0.565726762,0.427023517,0.354216867,0.198380567,0.285838429,0.32545253,0.6,0.127659574
Kartik Tyagi,0.606120067,0.600811124,0.388571429,0.295652174,0.637377599,0.31450277,0.425806452,0.220551378,0.448037756,0.2525628,0.533333333,0.175219024
Kuldeep Yadav,0.615123035,0.563954007,0.388636364,0.393103448,0.633936729,0.397048208,0.356348374,0.206871345,0.668439906,1,0.40754717,0.319148936
L Ablish,0.679590018,0.579374276,0.352941176,0.5,0.378842815,0.544183593,0.2,0.035087719,0.266333026,0.28888068,0.3,0.053191489
L Balaji,0.488361504,0.456512775,0.275574113,0.20952381,0.651132778,0.418944434,0.433576642,0.297744361,0.562945579,0.271949267,0.624545455,0.300761755
L Ngidi,0.64698512,0.574495847,0.396850394,0.323076923,0.701763138,0.471379583,0.44,0.289473684,0.596940903,0.307819674,0.623255814,0.285106383
LE Plunkett,0.569865067,0.312335405,0.286956522,0.275,0.636981198,0.195462939,0.38,0.2,0.528646637,0.230249617,0.263414634,0.106382979
LH Ferguson,0.495526695,0.418468669,0.355364807,0.255555556,0.674976533,0.402289003,0.519869707,0.28,0.528950627,0.343665521,0.549056604,0.21955636
LJ Wright,0.586820652,0.388180765,0.156521739,0.12,0.661365651,0.421682933,0.263414634,0.135338346,0.458098784,0.370151459,0.4,0.106382979
LR Shukla,0.530772325,0.562958671,0.405194805,0.346666667,0.597003832,0.391585334,0.447058824,0.242424242,0.329857677,0.286442556,0.336,0.106382979
LS Livingstone,0.5,0.433371958,0.5,0.333333333,0.587429626,0.396992878,0.3,0.166204986,0.730128151,0.349833764,0.6,0.319148936
Lalit Yadav,0.52173913,0.478563152,0.5,0.5,0.622732221,0.364317402,0.302290076,0.217105263,0.59940255,0.274948546,0.5,0.303951368
M Ashwin,0.619297719,0.378910776,0.383193277,0.361904762,0.656500006,0.42593795,0.385232745,0.259909032,0.565432098,0.260435907,0.566292135,0.186170213
M Jansen,0.467894737,0.47238316,0.260869565,0.166666667,0.60700233,0.413569534,0.345762712,0.178947368,0.520702961,0.240857037,0.591428571,0.282324059
M Kartik,0.613132616,0.415479517,0.22745098,0.322222222,0.658949493,0.352437388,0.403513174,0.320574163,0.571850012,0.319268884,0.579545455,0.282579787
M Morkel,0.555549434,0.51201236,0.351832461,0.311111111,0.638769315,0.378432172,0.430395137,0.234359484,0.566786447,0.276874769,0.645945946,0.310067462
M Muralitharan,0.605945419,0.478714293,0.457777778,0.479069767,0.728228783,0.385402344,0.473713751,0.415150025,0.6131066,0.174255018,0.616438356,0.362669246
M Ntini,0.581578947,0.455388181,0.377142857,0.314285714,0.631674578,0.451121076,0.533333333,0.280701754,0.57731187,0.252192728,0.648648649,0.315208826
M Prasidh Krishna,0.545784865,0.422851913,0.409302326,0.269387755,0.623639742,0.429744838,0.438356164,0.187134503,0.552589418,0.268929832,0.59886148,0.254352031
M Theekshana,0.757476636,0.474770884,0.485714286,0.85,0.622947653,0.321362626,0.331578947,0.221052632,0.527733945,0.31597094,0.364044944,0.205167173
M de Lange,0.453146067,0.593974508,0.28,0.155555556,0.517885936,0.423898707,0.282352941,0.140350877,0.567766798,0.396564463,0.569491525,0.22913257
MA Starc,0.631955645,0.548900694,0.4,0.474074074,0.698268796,0.433262991,0.424390244,0.277511962,0.602244031,0.226942495,0.591489362,0.314622001
MC Henriques,0.567479675,0.387459766,0.3375,0.257142857,0.641857221,0.41291216,0.355900621,0.209429825,0.550564001,0.307659155,0.525373134,0.212765957
MF Maharoof,0.558976744,0.509347981,0.348,0.322222222,0.724912435,0.437169004,0.475,0.5,0.53746535,0.32030714,0.57804878,0.262632979
MG Johnson,0.549817691,0.534855483,0.443835616,0.332307692,0.647155049,0.322017262,0.475324675,0.237816764,0.544837976,0.274844157,0.597063622,0.249590835
MG Neser,0.255555556,0.568945539,0.2,0.066666667,0.636881039,0.582168293,0.4,0.105263158,0.126282742,0.370151459,0.2,0.035460993
MJ McClenaghan,0.587483773,0.517314467,0.369491525,0.335384615,0.616726542,0.384441549,0.4416,0.186234818,0.542581853,0.30873096,0.571073095,0.252350322
MJ Santner,0.658333333,0.541135574,0.5,0.5,0.671010777,0.399706071,0.386577181,0.421052632,0.558756383,0.214721093,0.576623377,0.246010638
MM Ali,0.635843265,0.378910776,0.4,0.52,0.689779566,0.436101263,0.421276596,0.347368421,0.62388307,0.202869105,0.643902439,0.468085106
MM Patel,0.500181637,0.46723824,0.341721854,0.232432432,0.702872162,0.438964755,0.48,0.390977444,0.531344805,0.277201543,0.651482059,0.305960964
MM Sharma,0.539401517,0.484841321,0.312941176,0.23963964,0.680145842,0.38381757,0.398156682,0.244482173,0.531490923,0.291136435,0.554545455,0.23039154
MN Samuels,0.484073769,0.509385863,0.329411765,0.254545455,0.608133172,0.366312927,0.385714286,0.218623482,0.546910739,0.268562985,0.584615385,0.367504836
MP Stoinis,0.500358272,0.570900351,0.304477612,0.161904762,0.601995252,0.388613069,0.305289673,0.154080854,0.507972715,0.393449083,0.339622642,0.127659574
MR Marsh,0.563670285,0.518943783,0.368181818,0.257142857,0.679867227,0.423253562,0.398156682,0.291497976,0.398291618,0.30039404,0.585,0.188588008
MS Gony,0.554377344,0.45159228,0.355932203,0.259259259,0.626184641,0.472054403,0.42919708,0.224256293,0.501277733,0.263437083,0.539748954,0.198889917
Mohammad Asif,0.518415584,0.454229432,0.24,0.157142857,0.69332673,0.30067453,0.409756098,0.210526316,0.496903442,0.253663342,0.525842697,0.165957447
Mohammad Nabi,0.508902576,0.462340672,0.315789474,0.25,0.625368519,0.29100878,0.378947368,0.236842105,0.632012562,0.320982638,0.563265306,0.386338186
Mohammed Shami,0.538800347,0.541643865,0.328443649,0.231818182,0.631016818,0.400547504,0.371875,0.195723684,0.594993092,0.258969415,0.598865784,0.263709919
Mohammed Siraj,0.53790219,0.444257238,0.352592593,0.253191489,0.704869319,0.390899626,0.518611987,0.343358396,0.540120969,0.295556494,0.571232877,0.21587203
Mohsin Khan,0.620416667,0.554282103,0.45,0.45,0.785049955,0.392451229,0.533333333,0.631578947,0.715655112,0.327314986,0.804255319,0.558510638
Mujeeb Ur Rahman,0.482679739,0.415703041,0.4,0.252631579,0.67452422,0.435431743,0.350442478,0.267206478,0.628952263,0.358309146,0.522137405,0.319148936
Mukesh Choudhary,0.453630769,0.431633835,0.215384615,0.127272727,0.600993475,0.481930889,0.485714286,0.198830409,0.521883931,0.315847802,0.590575916,0.227272727
Mustafizur Rahman,0.580410695,0.448855758,0.392677346,0.381333333,0.68384765,0.405516084,0.390697674,0.232686981,0.603971151,0.280753602,0.528571429,0.328014184
N Rana,0.818627451,0.638470452,0.4,0.2,0.582557896,0.445089246,0.285148515,0.114832536,0.873888965,0.703361655,0.884210526,0.496453901
ND Doshi,0.52,0.422943221,0.6,0.6,0.566142487,0.70561857,0.461538462,0.263157895,0.528835025,0.322743504,0.533333333,0.141843972
NLTC Perera,0.454778761,0.45947139,0.297345133,0.183606557,0.606237205,0.377627464,0.384507042,0.212865497,0.516764691,0.287218323,0.542372881,0.243161094
NM Coulter-Nile,0.521058656,0.535058221,0.395061728,0.307692308,0.684557697,0.420337642,0.505785124,0.306766917,0.588454405,0.270563496,0.632294618,0.290988736
NT Ellis,0.458763309,0.50405562,0.327272727,0.225,0.656524339,0.328620417,0.366666667,0.192982456,0.572351118,0.276690063,0.68,0.30141844
Navdeep Saini,0.624185464,0.454229432,0.442105263,0.36,0.573897898,0.23908853,0.466285714,0.193456615,0.541457565,0.250198914,0.586666667,0.234042553
O Thomas,0.682978723,0.532792584,0.3,0.3,0.853205212,0.499868109,0.327272727,0.157894737,0.459219784,0.252308829,0.4125,0.117021277
OC McCoy,0.593314501,0.539397451,0.488135593,0.48,0.565677011,0.385914007,0.260240964,0.126315789,0.673779211,0.349833764,0.5,0.177304965
OF Smith,0.345526098,0.673232908,0.423529412,0.171428571,0.456215444,0.413347402,0.422222222,0.117647059,0.543998167,0.410786849,0.666666667,0.212765957
P Amarnath,0.383713784,0.352645809,0.211764706,0.1,0.468921605,0.444671591,0.265384615,0.089668616,0.452717983,0.313261914,0.6,0.079787234
P Awana,0.513232074,0.512332395,0.371428571,0.247619048,0.672461607,0.412250861,0.470431894,0.288861689,0.523059088,0.339645892,0.559090909,0.237911025
P Kumar,0.521699609,0.47945571,0.291036907,0.209090909,0.650598011,0.410502318,0.422535211,0.248262165,0.603495526,0.233248493,0.637696335,0.33612054
P Negi,0.512559392,0.594592507,0.38961039,0.25,0.660358337,0.419941968,0.395897436,0.278298486,0.492132627,0.313261914,0.542857143,0.183752418
P Parameswaran,0.490381558,0.540208575,0.389189189,0.266666667,0.667135661,0.327806459,0.516455696,0.275303644,0.42917009,0.34678611,0.6,0.191489362
P Sahu,0.502321981,0.34820394,0.211764706,0.2,0.686101342,0.412819836,0.285,0.181818182,0.420433179,0.374214998,0.48,0.070921986
P Suyal,0.61826087,0.721900348,0.260869565,0.25,0.662528346,0.418359272,0.6,0.315789474,0.576401665,0.138529738,0.517241379,0.177304965
PJ Cummins,0.543592003,0.46475749,0.368871595,0.277192982,0.661437043,0.436370351,0.358064516,0.210526316,0.549747744,0.275888049,0.545714286,0.236269174
PJ Sangwan,0.521858516,0.42775998,0.367164179,0.315384615,0.607476089,0.438720636,0.392178771,0.195488722,0.511869819,0.288991385,0.56,0.214095745
PP Chawla,0.575632511,0.504632563,0.402941176,0.365333333,0.651807272,0.416418475,0.405490513,0.24541856,0.608725044,0.334508417,0.557983193,0.263575738
PP Ojha,0.564642949,0.501565966,0.301075269,0.269230769,0.663613165,0.423193688,0.441399851,0.363636364,0.499195446,0.241076046,0.523728814,0.233137166
PV Tambe,0.551536202,0.477404403,0.230769231,0.176470588,0.682730547,0.415695067,0.383030303,0.286751361,0.469740242,0.272795838,0.489473684,0.193992491
PVD Chameera,0.543908046,0.42815759,0.38,0.2375,0.636498503,0.195863888,0.434482759,0.184210526,0.554902314,0.290331944,0.655319149,0.24822695
PWH de Silva,0.611090909,0.527727197,0.464,0.414285714,0.680582897,0.433468912,0.480898876,0.312865497,0.409896279,0.457517547,0.48,0.127659574
Pankaj Singh,0.453901274,0,0.2,0.106666667,0.528230529,0.269388024,0.372,0.14187643,0.536287132,0.373537742,0.583783784,0.247083047
R Ashwin,0.602043467,0.431139855,0.373540856,0.516129032,0.695942653,0.38520537,0.388327526,0.330002221,0.631311556,0.311091928,0.546923077,0.35510938
R Bhatia,0.554567453,0.468962092,0.321052632,0.358823529,0.622566429,0.406315893,0.326153846,0.262098199,0.315358099,0.463612856,0.4,0.085106383
R Dhawan,0.536538462,0.322251968,0.213333333,0.188235294,0.635881337,0.399793032,0.367164179,0.264232009,0.557999978,0.259954698,0.521212121,0.269086358
R McLaren,0.503846154,0.472272803,0.246153846,0.168421053,0.625385337,0.3302444,0.332773109,0.144736842,0.462620744,0.225387883,0.554482759,0.197990544
R Parag,0.485714286,0.638470452,0,0,0.547310339,0.36622527,0.25,0.108892922,0.702544754,0.267208472,0.2,0.053191489
R Rampaul,0.476151391,0.434103799,0.4,0.283333333,0.831485664,0.448430493,0.456,1,0.640412827,0.285629849,0.705,0.4
R Sharma,0.56453137,0.369331788,0.355263158,0.346153846,0.672571092,0.436336406,0.447787611,0.350415512,0.562792945,0.265402455,0.490909091,0.294599018
R Shepherd,0.572222222,0.527230591,0.4,0.266666667,0.517277657,0.359799525,0.44,0.128654971,0.513401457,0.349833764,0.8,0.283687943
R Shukla,0.428087167,0.427578216,0.3,0.155555556,0.51322421,0.332102348,0.352941176,0.116959064,0.517178014,0.422977466,0.484615385,0.186170213
R Tewatia,0.62591925,0.509581959,0.473684211,0.75,0.671345831,0.39582379,0.36744186,0.233152976,0.593112801,0.467676395,0.5,0.265957447
R Vinay Kumar,0.515661431,0.495717232,0.309797823,0.232167832,0.635533661,0.415282386,0.423931624,0.228993536,0.549880825,0.294011973,0.562903226,0.275019701
RA Jadeja,0.587925516,0.419203584,0.393482688,0.407594937,0.652014547,0.397617703,0.38772137,0.276105599,0.498605162,0.264038911,0.503816794,0.216706068
RD Chahar,0.630151119,0.52769409,0.464516129,0.72,0.659990816,0.413109997,0.423738872,0.280439906,0.554220759,0.430562739,0.61875,0.234042553
RE van der Merwe,0.574888889,0.471401563,0.226666667,0.425,0.682495205,0.431755662,0.453420195,0.50877193,0.458910174,0.329516069,0.514285714,0.159574468
RG More,0.570833333,0.457705678,0.225,0.3,0.665623675,0.539435505,0.1,0.052631579,0.381870774,0.370151459,0,0
RG Sharma,0.537643678,0.551464989,0.325,0.325,0.604681233,0.343251875,0.269491525,0.20662768,0.549378872,0.2975157,0.53877551,0.292553191
RJ Harris,0.550029076,0.497277861,0.353207547,0.294339623,0.653921453,0.42310736,0.458015267,0.250626566,0.588321441,0.277070394,0.690731707,0.348699764
RJ Peterson,0.428861789,0.441814269,0.333333333,0.166666667,0.688544027,0.400791348,0.666666667,0.350877193,0.699786414,0.471739934,0.6,0.319148936
RP Meredith,0.524118549,0.527230591,0.426315789,0.3,0.660658643,0.334476391,0.496153846,0.238227147,0.544367306,0.203390071,0.534939759,0.218676123
RP Singh,0.588313253,0.513452017,0.3421875,0.301030928,0.611733947,0.397733021,0.403361345,0.205391528,0.543207193,0.247787195,0.634933606,0.299491212
RR Powar,0.517708333,0.445787121,0.5,0.5,0.648692148,0.321066772,0.381818182,0.304900181,0.557206383,0.271272011,0.664615385,0.294599018
RR Raje,0.540237999,0.087485516,0.259459459,0.228571429,0.512530695,0.405594486,0.344680851,0.157894737,0.392034509,0.313261914,0.8,0.141843972
Rashid Khan,0.611761409,0.439025633,0.461290323,0.52,0.76717195,0.426183324,0.47008761,0.439298246,0.575785327,0.320610536,0.508163265,0.26756931
Rasikh Salam,0.410606061,0.555040556,0,0,0.748807876,0.572672118,0.4,0.210526316,0.629977605,0.309198375,0.48,0.212765957
Ravi Bishnoi,0.64829681,0.47607927,0.465116279,0.454545455,0.638727729,0.387734107,0.424761905,0.276160991,0.574528571,0.304796207,0.592,0.246010638
S Aravind,0.535150215,0.54463665,0.355862069,0.286666667,0.615270576,0.442919834,0.391304348,0.170697013,0.548441375,0.281224163,0.535560859,0.261758119
S Badree,0.764492754,0.721900348,0.4,0.2,0.576892413,0.41329881,0.387096774,0.22556391,0.560807317,0.297820465,0.6,0.292553191
S Gopal,0.71002291,0.585168019,0.333333333,1,0.639464613,0.439987051,0.375679172,0.21587868,0.591770453,0.357791528,0.530973451,0.231267345
S Kaul,0.588770523,0.517036859,0.314851485,0.286486486,0.614830831,0.376207882,0.392727273,0.207642394,0.497246648,0.295757438,0.480701754,0.173505572
S Kaushik,0.497571606,0.517960603,0.218181818,0.088888889,0.734683071,0.495713532,0.42484472,0.272727273,0.354404404,0.422977466,0.494117647,0.093085106
S Ladda,0.471212121,0.490730012,0.4,0.24,0.553927477,0.088117286,0.414285714,0.218045113,0.5308439,0.386405615,0.494117647,0.14893617
S Lamichhane,0.461428571,0.201095544,0.32,0.266666667,0.600853315,0.423474771,0.370093458,0.231578947,0.564376611,0.365952469,0.574647887,0.212765957
S Nadeem,0.57020854,0.365118842,0.294736842,0.311111111,0.694714804,0.406542402,0.378947368,0.293233083,0.550690892,0.270770475,0.456565657,0.218568665
S Narwal,0.226797386,0.517960603,0.2,0.066666667,0.441845311,0.582168293,0.381818182,0.147368421,0.49926659,0.301680827,0.498461538,0.168961202
S Randiv,0.504285714,0.541135574,0.4,0.4,0.639132441,0.386547085,0.416666667,0.27700831,0.530590126,0.463612856,0.4,0.141843972
S Sreesanth,0.492395286,0.444573194,0.332307692,0.205714286,0.673858165,0.345690922,0.509302326,0.28460039,0.573164862,0.298857369,0.620320856,0.293819656
S Tyagi,0.308893281,0.492468134,0.109090909,0.033333333,0.713184709,0.34403344,0.6,0.315789474,0.518859759,0.230655971,0.57037037,0.234042553
SA Abbott,0.418115942,0.721900348,0.4,0.133333333,0.575079292,0.482458454,0.266666667,0.084210526,0.435379848,0.471739934,0.28,0.082742317
SB Bangar,0.450056465,0.433371958,0.104347826,0.04,0.625010503,0.361199602,0.466666667,0.221052632,0.648015391,0.361347125,0.776470588,0.585106383
SB Jakati,0.50298913,0.458370988,0.35625,0.304,0.606832731,0.410225277,0.373933649,0.251674641,0.524358025,0,0.454736842,0.174081238
SB Styris,0.529342532,0.53683165,0.39375,0.2625,0.695499147,0,0.488888889,0.356275304,0.624059558,0.204707372,0.514285714,0.478723404
SC Ganguly,0.286363636,0.536500579,0.109090909,0.04,0.674000354,0.443682406,0.34,0.238596491,0.38625513,0.32545253,0.4,0.159574468
SC Kuggeleijn,0.416666667,0.443800695,0.55,0.44,0.453509716,0.743603271,0.333333333,0.175438596,0.374696373,0.374214998,0.2,0.053191489
SD Chitnis,0.783333333,0.73580533,0.4,0.2,0.784466295,0.601160644,0.260869565,0.105263158,0.392034509,0.378278537,0.48,0.106382979
SE Bond,0.552096436,0.280149746,0.333333333,0.272727273,0.718658668,0.454401573,0.514285714,0.315789474,0.680016894,0.344754341,0.566292135,0.319148936
SJ Srivastava,0.550405885,0.49571263,0.422222222,0.316666667,0.60142534,0.359750066,0.378947368,0.175438596,0.47544717,0.320937487,0.498461538,0.174081238
SK Raina,0.520894252,0.422577301,0.348387097,0.342857143,0.639999756,0.332275247,0.380571429,0.274922601,0.679137838,0.274658293,0.406153846,0.260047281
SK Trivedi,0.560326859,0.474020857,0.354362416,0.352,0.644524428,0.393318459,0.394269341,0.299260548,0.479488577,0.282640245,0.576,0.205902539
SK Warne,0.558588354,0.444086974,0.394366197,0.358974359,0.667969448,0.420901317,0.44516129,0.366826156,0.471147624,0.254340598,0.377142857,0.130023641
SL Malinga,0.605601029,0.534602298,0.390334572,0.45751634,0.683990165,0.41408149,0.428282828,0.282478348,0.603041815,0.257340446,0.644280443,0.375241779
SM Boland,0.734191176,0.812282735,0.352941176,0.5,0.495583331,0.596412556,0,0,0.556746796,0.313261914,0.6,0.191489362
SM Curran,0.489792381,0.510368041,0.336231884,0.232,0.581728249,0.445185967,0.339823009,0.160401003,0.582283743,0.241472725,0.479245283,0.217913521
SM Harwood,0.44047619,0.411355736,0.35,0.233333333,0.823652799,0.52993933,0.776470588,0.578947368,0.748486177,0.252889335,1,0.79787234
SM Pollock,0.637878788,0.707995365,0.2,0.1,0.622210984,0.409100501,0.443076923,0.229665072,0.628917853,0.26079066,0.620689655,0.413711584
