BatterName,OverNo,Dot,1,2,3,4,5,6,Wickets,TotalBalls
TH David,15,2,5,4,0,5,0,0,1,17
TH David,16,1,9,1,0,2,0,2,1,16
TH David,17,8,6,1,0,2,0,8,2,27
TH David,18,4,2,0,0,0,0,1,2,9
TH David,19,5,0,0,0,0,0,2,0,7
Ramandeep Singh,1,0,0,0,0,0,0,0,0,0
Ramandeep Singh,2,0,0,0,0,0,0,0,0,0
Ramandeep Singh,3,0,0,0,0,0,0,0,0,0
Ramandeep Singh,4,0,0,0,0,0,0,0,0,0
Ramandeep Singh,5,2,2,0,0,0,0,0,0,4
Ramandeep Singh,6,0,2,0,0,0,0,0,0,2
Ramandeep Singh,7,1,2,0,0,0,0,0,0,3
Ramandeep Singh,8,1,2,1,0,0,0,0,0,4
Ramandeep Singh,9,1,2,0,0,0,0,0,0,3
Ramandeep Singh,10,4,1,0,0,0,0,0,1,6
Ramandeep Singh,11,3,1,0,0,0,0,0,0,4
Ramandeep Singh,12,0,2,0,0,0,0,0,0,2
Ramandeep Singh,13,1,0,1,0,0,0,0,1,3
Ramandeep Singh,14,0,0,0,0,0,0,0,0,0
Ramandeep Singh,15,0,0,0,0,0,0,0,0,0
Ramandeep Singh,16,0,0,0,0,0,0,0,0,0
Ramandeep Singh,17,0,1,0,0,0,0,0,0,1
Ramandeep Singh,18,0,1,0,1,1,0,0,0,3
Ramandeep Singh,19,4,0,2,0,2,0,1,0,9
DR Sams,1,1,0,0,0,0,0,0,0,1
DR Sams,2,0,0,0,0,0,0,0,0,0
DR Sams,3,0,1,0,0,0,0,0,0,1
DR Sams,4,4,0,0,0,0,0,0,1,5
DR Sams,5,0,0,0,0,0,0,0,0,0
DR Sams,6,0,0,0,0,0,0,0,0,0
DR Sams,7,0,0,0,0,0,0,0,0,0
DR Sams,8,0,0,0,0,0,0,0,0,0
DR Sams,9,0,0,0,0,0,0,0,0,0
DR Sams,10,0,1,0,0,0,0,0,0,1
DR Sams,11,0,0,0,0,0,0,0,0,0
DR Sams,12,0,2,2,0,0,0,1,0,5
DR Sams,13,1,1,0,0,0,0,0,0,2
DR Sams,14,5,2,0,0,0,0,0,2,9
DR Sams,15,4,1,1,0,0,0,0,3,9
DR Sams,16,0,1,0,0,1,0,0,0,2
DR Sams,17,1,1,0,0,0,0,0,1,3
DR Sams,18,6,3,1,0,0,0,0,1,11
DR Sams,19,3,1,0,0,0,0,2,2,8
RD Gaikwad,1,49,25,2,0,3,0,2,1,82
RD Gaikwad,2,34,26,6,0,10,0,4,2,82
RD Gaikwad,3,35,26,4,1,9,0,4,3,82
RD Gaikwad,4,32,19,3,0,16,0,2,3,75
RD Gaikwad,5,18,20,2,0,7,0,5,1,53
RD Gaikwad,6,22,32,3,0,5,0,2,1,65
RD Gaikwad,7,18,34,4,0,5,0,2,0,63
RD Gaikwad,8,14,28,2,0,4,0,2,4,54
RD Gaikwad,9,7,23,3,0,4,0,0,1,38
RD Gaikwad,10,8,20,3,0,5,0,6,2,44
RD Gaikwad,11,9,18,3,1,9,0,4,0,44
RD Gaikwad,12,6,15,2,0,7,0,1,3,34
RD Gaikwad,13,2,15,3,1,1,0,0,0,22
RD Gaikwad,14,1,11,0,0,0,0,2,1,15
RD Gaikwad,15,5,16,3,0,7,0,1,1,33
RD Gaikwad,16,6,14,3,0,3,0,1,1,28
RD Gaikwad,17,7,6,2,0,3,0,1,2,21
RD Gaikwad,18,3,3,1,0,2,0,2,1,12
RD Gaikwad,19,2,0,0,0,1,0,2,0,5
DP Conway,1,9,6,0,0,0,0,0,0,15
DP Conway,2,7,6,1,0,4,0,1,1,20
DP Conway,3,5,6,0,0,0,0,0,0,11
DP Conway,4,3,5,0,0,0,0,2,1,11
DP Conway,5,4,4,0,0,0,0,1,0,9
DP Conway,6,3,7,0,0,2,0,0,0,12
DP Conway,7,3,2,0,0,1,0,2,1,9
DP Conway,8,1,5,1,0,1,0,1,0,9
DP Conway,9,4,5,0,0,3,0,0,0,12
DP Conway,10,4,3,0,0,0,0,1,0,8
DP Conway,11,2,3,0,0,3,0,0,0,8
DP Conway,12,4,3,2,0,1,0,1,0,11
DP Conway,13,0,6,0,0,2,0,0,0,8
DP Conway,14,3,2,1,0,1,0,2,1,10
DP Conway,15,0,2,0,0,0,0,0,0,2
DP Conway,16,2,3,1,0,0,0,0,1,7
DP Conway,17,0,1,0,0,0,0,1,0,2
DP Conway,18,0,1,0,0,0,0,0,0,1
DP Conway,19,0,2,0,0,2,0,0,0,4
MM Ali,1,11,1,0,0,0,0,0,2,14
MM Ali,2,6,5,0,0,2,0,2,0,15
MM Ali,3,17,5,0,0,6,0,3,0,31
MM Ali,4,17,9,2,0,2,0,2,1,33
MM Ali,5,28,10,1,0,11,0,4,3,57
MM Ali,6,22,13,0,0,8,0,1,1,45
