batter,batter_id,Active Ratio_death,Striking Ratio_death,True SR_death,True Avg_death,Active Ratio_middle,Striking Ratio_middle,True SR_middle,True Avg_middle,Active Ratio_powerplay,Striking Ratio_powerplay,True SR_powerplay,True Avg_powerplay
A Ashish Reddy,154,0.75,0.219047619,0.070404506,-0.830952381,0.609756098,0.24137931,50.19391537,45.5,0.333333333,0.2,-27.47747748,-15.5
A Badoni,144,0.707692308,0.260869565,-10.97902098,-1.329411765,0.603448276,0.125,-17.66047745,-0.754385965,0.166666667,0,-70.1754386,-8.428571429
A Chopra,635,0.5,0,-203.5714286,-34.5,0.482758621,0.125,-16.18831303,-16,0.384615385,0.114285714,-18.20378574,-3.2
A Flintoff,37,0.764705882,0.230769231,22.46865959,15.5,0.727272727,0.105263158,-35.09418509,-2.833333333,0.363636364,0.25,22.00956938,-6
A Manohar,261,0.625,0.347826087,-15.29605263,-9.023529412,0.741935484,0.304347826,11.97326359,-4.666666667,0.5,0.2,-2.777777778,-0.333333333
A Mishra,235,0.6367713,0.143646409,-21.19091704,-1.210388095,0.56,0.058823529,-16.19251337,6.323529412,0.2,0,-85.26315789,-12.33333333
A Mukund,192,0,0,-137.5,-11,0.666666667,0,-29.62962963,-25.5,0.666666667,0.076923077,-47.69230769,-41
A Symonds,50,0.758426966,0.276422764,7.991875827,6.52417795,0.644210526,0.191135734,16.03813261,21.16615385,0.382716049,0.184615385,-24.33862434,53.65714286
AA Bilakhia,300,0.741935484,0.125,-18.32474925,5.692307692,0.473684211,0,-77.36842105,-18.83333333,0.419354839,0.08,-66.15732881,-9
AA Jhunjhunwala,16,0.673469388,0.27027027,4.175105157,-3.308333333,0.596774194,0.108910891,-14.6,-5.378787879,0.393939394,0.1,-29.96331023,9.6875
AB Agarkar,288,0.786516854,0.181818182,-8.066409525,8.646511628,0.488888889,0.076923077,-1.648091861,4.904761905,0.461538462,0.333333333,29.45590994,3
AB Barath,620,0.4,0,-69.09090909,-22,0.52173913,0.157894737,-22.3658441,-21.75,0.538461538,0.3,-17.09401709,-38
AB McDonald,131,0.725806452,0.152173913,-17.3313783,8.777777778,0.75,0,-2.236238532,0,0.444444444,0.5,42.34234234,7
AB de Villiers,209,0.81242236,0.613636364,46.59638388,21.99203911,0.722567288,0.181575434,9.601543766,11.9107394,0.512355848,0.260869565,0.597492845,12.97560349
AC Gilchrist,147,0.851851852,0.588235294,77.15355805,43.14285714,0.651219512,0.262458472,21.86896502,-7.905581638,0.519480519,0.327348066,17.63512602,0.315616798
AC Voges,422,0.843137255,0.264705882,12.5,24,0.675324675,0.140350877,-1.425893694,9.03030303,0.444444444,0.125,-27.62762763,-2.75
AD Mascarenhas,443,0.75,0.103448276,-22.99180328,-6.653846154,0.542857143,0.0625,-33.24116743,-4.647058824,0.5,1,117.9487179,-4
AD Mathews,574,0.747252747,0.256544503,-4.27104675,-0.292207792,0.65942029,0.09787234,-6.869507014,9.884444444,0.235294118,0.066666667,-26.04489164,1.4
